epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,24064.2,2.16476,1.27958,1.96188,0.52622,0.4243,0.45827,0.31984,1.93136,1.60954,2.0203,0.009472,0.009472,0.009472
18,24592.6,2.15102,1.26823,1.96242,0.52925,0.4359,0.46672,0.32258,1.91941,1.56495,2.02467,0.009439,0.009439,0.009439
19,28474.7,2.13273,1.23877,1.94316,0.55239,0.4393,0.46726,0.32744,1.89789,1.57423,2.00626,0.009406,0.009406,0.009406
20,29008.2,2.08733,1.21049,1.9183,0.55049,0.45672,0.48777,0.33815,1.90026,1.55968,2.00304,0.009373,0.009373,0.009373
21,29540.3,2.08818,1.20899,1.91676,0.52202,0.4536,0.47591,0.33626,1.86706,1.5151,1.97582,0.00934,0.00934,0.00934
22,30070.2,2.07289,1.18811,1.91203,0.55178,0.45797,0.49094,0.34758,1.8585,1.53355,1.96392,0.009307,0.009307,0.009307
23,30601,2.05584,1.17355,1.90204,0.56295,0.4613,0.49638,0.3533,1.84029,1.49852,1.95292,0.009274,0.009274,0.009274
24,33769.9,2.05295,1.17187,1.89515,0.55433,0.47039,0.49849,0.3555,1.83504,1.48591,1.94148,0.009241,0.009241,0.009241
25,34298.6,2.05025,1.15972,1.87983,0.56661,0.48659,0.51202,0.3625,1.82102,1.463,1.93118,0.009208,0.009208,0.009208
26,34847.4,2.03025,1.14511,1.87046,0.5741,0.48674,0.51622,0.36605,1.81248,1.44695,1.9198,0.009175,0.009175,0.009175
27,35378.4,2.01954,1.11884,1.86654,0.58372,0.48652,0.5207,0.37176,1.81095,1.44135,1.91456,0.009142,0.009142,0.009142
28,35913.8,2.00937,1.10868,1.85933,0.58756,0.47961,0.52291,0.37267,1.79822,1.4241,1.90468,0.009109,0.009109,0.009109
29,37788.3,1.99726,1.10439,1.85273,0.58631,0.49473,0.53191,0.38184,1.78211,1.3862,1.89363,0.009076,0.009076,0.009076
30,38327.8,1.97891,1.09903,1.84375,0.58659,0.48967,0.53564,0.38499,1.77172,1.37311,1.88945,0.009043,0.009043,0.009043
31,38857.8,1.97236,1.08642,1.85058,0.59874,0.49663,0.54342,0.38932,1.77362,1.36276,1.89522,0.00901,0.00901,0.00901
32,39390.6,1.96188,1.07792,1.8348,0.58071,0.51481,0.54535,0.3902,1.77074,1.35975,1.88295,0.008977,0.008977,0.008977
33,39920,1.94578,1.08611,1.833,0.60331,0.49707,0.54259,0.39077,1.75969,1.35547,1.87595,0.008944,0.008944,0.008944
34,40458.9,1.9462,1.06225,1.82744,0.60334,0.50088,0.54485,0.39297,1.74685,1.35048,1.86323,0.008911,0.008911,0.008911
35,40989.4,1.93857,1.05374,1.82001,0.65293,0.51061,0.54975,0.39822,1.7444,1.33788,1.85491,0.008878,0.008878,0.008878
36,44328.7,1.93763,1.06563,1.82079,0.6702,0.50448,0.57931,0.41112,1.7367,1.33777,1.85317,0.008845,0.008845,0.008845
37,44864.8,1.91556,1.04925,1.81295,0.64801,0.52368,0.58243,0.41569,1.73768,1.32043,1.84885,0.008812,0.008812,0.008812
38,45395,1.9068,1.03987,1.81188,0.65001,0.52553,0.55825,0.40491,1.7293,1.32298,1.84731,0.008779,0.008779,0.008779
39,47059.5,1.91284,1.02324,1.80882,0.65651,0.51803,0.5612,0.40726,1.73022,1.31367,1.84805,0.008746,0.008746,0.008746
40,47847.8,1.90978,1.03218,1.80211,0.6029,0.53004,0.56532,0.41229,1.72185,1.30635,1.8337,0.008713,0.008713,0.008713
41,50705.5,1.89736,1.01881,1.80097,0.65647,0.52999,0.56527,0.41543,1.71545,1.29495,1.8332,0.00868,0.00868,0.00868
42,51370,1.89084,1.01481,1.80054,0.61616,0.52928,0.57382,0.4177,1.7068,1.28476,1.8293,0.008647,0.008647,0.008647
43,51901.9,1.87905,1.01579,1.79627,0.745,0.52399,0.57422,0.41922,1.7033,1.28121,1.82244,0.008614,0.008614,0.008614
44,52431,1.85867,1.00765,1.79072,0.72875,0.53157,0.57278,0.41842,1.69644,1.27903,1.81865,0.008581,0.008581,0.008581
45,52969.1,1.89718,1.00623,1.79114,0.72858,0.53267,0.57508,0.42184,1.69475,1.25997,1.81548,0.008548,0.008548,0.008548
46,53498.5,1.87032,0.99849,1.7907,0.73214,0.53641,0.58373,0.42835,1.69126,1.25358,1.81263,0.008515,0.008515,0.008515
47,57968.9,1.87723,0.98971,1.78375,0.72608,0.54386,0.58749,0.43052,1.68424,1.25054,1.80987,0.008482,0.008482,0.008482
48,58507.7,1.86978,0.99649,1.77806,0.73062,0.5473,0.59018,0.43232,1.68286,1.25181,1.80967,0.008449,0.008449,0.008449
49,62221.2,1.84199,0.98811,1.78193,0.72266,0.55106,0.59052,0.43216,1.68049,1.24522,1.80866,0.008416,0.008416,0.008416
50,62759.9,1.86194,0.97029,1.77879,0.71985,0.55535,0.58866,0.43391,1.67617,1.23983,1.80648,0.008383,0.008383,0.008383
51,65821.7,1.84742,0.96932,1.77759,0.73345,0.55282,0.59602,0.4382,1.67189,1.23048,1.80164,0.00835,0.00835,0.00835
52,66693,1.85072,0.9726,1.77583,0.74013,0.54738,0.59507,0.43895,1.66753,1.22997,1.79962,0.008317,0.008317,0.008317
53,70844.5,1.83941,0.96788,1.77186,0.74102,0.54822,0.59667,0.44046,1.66485,1.22263,1.79755,0.008284,0.008284,0.008284
54,71520.9,1.84286,0.96418,1.77369,0.73821,0.55978,0.59966,0.44329,1.66311,1.21771,1.79491,0.008251,0.008251,0.008251
55,72053.9,1.84786,0.96264,1.76391,0.73995,0.55523,0.60886,0.448,1.66029,1.21488,1.79184,0.008218,0.008218,0.008218
56,72588,1.8324,0.95019,1.76881,0.74613,0.55462,0.61096,0.44912,1.65815,1.2118,1.79137,0.008185,0.008185,0.008185
57,73228.1,1.83477,0.95554,1.76352,0.73566,0.56205,0.61045,0.45118,1.65469,1.2109,1.79035,0.008152,0.008152,0.008152
