epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,58283.3,1.12913,0.94806,1.3908,0.74429,0.57927,0.62501,0.45502,1.10235,1.20325,1.48361,0.007987,0.007987,0.007987
63,58951.7,1.12715,0.96009,1.39858,0.7447,0.57667,0.62547,0.45562,1.10114,1.1998,1.48191,0.007954,0.007954,0.007954
64,59616.7,1.12522,0.94678,1.38928,0.74958,0.57638,0.62795,0.45773,1.10034,1.19605,1.48019,0.007921,0.007921,0.007921
65,60289,1.12575,0.96134,1.3928,0.75388,0.57004,0.62821,0.4599,1.09924,1.19296,1.47846,0.007888,0.007888,0.007888
66,60955.4,1.12154,0.94659,1.39322,0.7494,0.57447,0.63028,0.46162,1.09776,1.18913,1.47723,0.007855,0.007855,0.007855
67,61625,1.11607,0.93149,1.38164,0.75632,0.56931,0.63139,0.46245,1.09646,1.18747,1.4759,0.007822,0.007822,0.007822
68,64393,1.1192,0.94209,1.39009,0.74708,0.57818,0.63127,0.46449,1.0955,1.18625,1.47481,0.007789,0.007789,0.007789
69,66697.3,1.11581,0.92931,1.3707,0.75111,0.57617,0.63238,0.4658,1.09435,1.18536,1.4732,0.007756,0.007756,0.007756
70,67364.6,1.11526,0.93315,1.38031,0.75635,0.5738,0.63342,0.46627,1.09327,1.18419,1.47247,0.007723,0.007723,0.007723
71,71542.3,1.11942,0.93254,1.37886,0.75279,0.5765,0.63393,0.46618,1.09225,1.18209,1.47153,0.00769,0.00769,0.00769
72,72210.7,1.11037,0.92178,1.37552,0.75197,0.57785,0.63497,0.46721,1.09118,1.18016,1.47015,0.007657,0.007657,0.007657
73,72882.9,1.11001,0.92972,1.3745,0.75379,0.57733,0.6352,0.46789,1.08981,1.17885,1.46906,0.007624,0.007624,0.007624
74,73549.2,1.10855,0.92428,1.37973,0.75674,0.58074,0.63694,0.46867,1.08914,1.17681,1.46794,0.007591,0.007591,0.007591
75,74226.6,1.10411,0.92455,1.37654,0.75659,0.58117,0.63821,0.46968,1.08838,1.17568,1.46682,0.007558,0.007558,0.007558
76,75975,1.1053,0.91651,1.37417,0.75742,0.57937,0.63881,0.47029,1.08795,1.1743,1.46576,0.007525,0.007525,0.007525
77,76643.5,1.09814,0.91604,1.36662,0.75892,0.58243,0.64148,0.47111,1.08711,1.17204,1.465,0.007492,0.007492,0.007492
78,77316.5,1.10122,0.91737,1.36427,0.75747,0.58398,0.64308,0.47232,1.08622,1.17055,1.46424,0.007459,0.007459,0.007459
79,81660.9,1.09375,0.91253,1.36199,0.75509,0.58534,0.64367,0.473,1.08559,1.16935,1.46357,0.007426,0.007426,0.007426
80,82335.8,1.09635,0.90748,1.36265,0.75463,0.58543,0.64239,0.47287,1.08485,1.16827,1.4627,0.007393,0.007393,0.007393
81,83003.9,1.10681,0.91456,1.36279,0.75651,0.58544,0.64338,0.47328,1.08412,1.16715,1.46197,0.00736,0.00736,0.00736
82,83697,1.09282,0.90435,1.36369,0.75851,0.584,0.64297,0.47363,1.08361,1.16655,1.46157,0.007327,0.007327,0.007327
83,84368.6,1.0958,0.90251,1.36208,0.76046,0.58228,0.64461,0.47457,1.08291,1.16582,1.46051,0.007294,0.007294,0.007294
84,85038.1,1.0917,0.89789,1.36567,0.76069,0.58294,0.64493,0.47503,1.08246,1.16558,1.45983,0.007261,0.007261,0.007261
85,85742.8,1.09534,0.90151,1.36224,0.75851,0.58517,0.6449,0.47517,1.08202,1.16515,1.45923,0.007228,0.007228,0.007228
86,88428.5,1.093,0.90046,1.36735,0.756,0.58651,0.64457,0.47544,1.0813,1.16482,1.45864,0.007195,0.007195,0.007195
87,89094.3,1.08768,0.89699,1.35462,0.75839,0.58574,0.64444,0.47556,1.0807,1.16433,1.45768,0.007162,0.007162,0.007162
88,89764.1,1.08813,0.89775,1.35594,0.76013,0.58541,0.64473,0.47581,1.08037,1.16367,1.45709,0.007129,0.007129,0.007129
89,90465.4,1.08782,0.88997,1.35375,0.7016,0.58707,0.6446,0.47576,1.07991,1.16292,1.45649,0.007096,0.007096,0.007096
90,94380.9,1.08659,0.89664,1.3552,0.6974,0.59045,0.64442,0.47586,1.07942,1.16131,1.45605,0.007063,0.007063,0.007063
91,95063.4,1.09057,0.89318,1.35161,0.6969,0.59257,0.64509,0.47632,1.07907,1.15998,1.45541,0.00703,0.00703,0.00703
92,96431.2,1.07841,0.88554,1.34828,0.6972,0.59265,0.6449,0.4768,1.07863,1.15836,1.45491,0.006997,0.006997,0.006997
93,97098.3,1.07047,0.87791,1.34762,0.70043,0.5912,0.64437,0.47681,1.07833,1.15697,1.45431,0.006964,0.006964,0.006964
94,101907,1.07786,0.8874,1.35697,0.69903,0.59195,0.64477,0.47726,1.07794,1.15599,1.45393,0.006931,0.006931,0.006931
95,102596,1.07363,0.87819,1.34193,0.70294,0.59099,0.64539,0.47771,1.07739,1.15457,1.45324,0.006898,0.006898,0.006898
