epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,82036.1,1.10945,0.90537,1.38482,0.75311,0.59151,0.62651,0.45696,1.09659,1.17336,1.49825,0.007921,0.007921,0.007921
65,82454.2,1.11169,0.91996,1.39312,0.7594,0.58683,0.62681,0.45829,1.09622,1.16977,1.49628,0.007888,0.007888,0.007888
66,82822.5,1.10451,0.90704,1.39414,0.75363,0.58706,0.62542,0.45941,1.09521,1.16295,1.49464,0.007855,0.007855,0.007855
67,83242.4,1.1013,0.89375,1.37651,0.75223,0.58609,0.62786,0.45969,1.09395,1.15992,1.49345,0.007822,0.007822,0.007822
68,84824.1,1.10198,0.90083,1.38318,0.74656,0.58565,0.62813,0.46,1.09284,1.15701,1.49181,0.007789,0.007789,0.007789
69,85256.4,1.10061,0.89068,1.36856,0.73956,0.59139,0.62953,0.46074,1.09168,1.15602,1.48985,0.007756,0.007756,0.007756
70,86267.6,1.09827,0.89339,1.38173,0.73163,0.59705,0.6308,0.46204,1.09083,1.15476,1.48875,0.007723,0.007723,0.007723
71,86688.5,1.10269,0.89635,1.37578,0.73636,0.59529,0.63251,0.46325,1.08971,1.1532,1.48795,0.00769,0.00769,0.00769
72,89469.5,1.09134,0.88275,1.37103,0.74142,0.59374,0.63348,0.46441,1.08866,1.15278,1.48667,0.007657,0.007657,0.007657
73,89895.6,1.09525,0.8915,1.37307,0.74474,0.59513,0.63614,0.46582,1.08801,1.15235,1.48584,0.007624,0.007624,0.007624
74,90264.2,1.09017,0.89167,1.37659,0.74184,0.59491,0.6368,0.46596,1.08747,1.15216,1.48504,0.007591,0.007591,0.007591
75,90662.4,1.08779,0.88785,1.37699,0.73438,0.59849,0.63797,0.46719,1.08698,1.15083,1.48404,0.007558,0.007558,0.007558
76,91939.3,1.08783,0.87974,1.36701,0.73504,0.59923,0.63876,0.46794,1.08607,1.14943,1.48325,0.007525,0.007525,0.007525
77,92354.2,1.0811,0.88147,1.36494,0.73212,0.60343,0.63941,0.46815,1.08557,1.14894,1.48207,0.007492,0.007492,0.007492
78,94180.5,1.08517,0.87947,1.35913,0.73225,0.60325,0.63976,0.46877,1.08503,1.14683,1.48093,0.007459,0.007459,0.007459
79,94555.3,1.07787,0.87377,1.35738,0.72852,0.60403,0.64017,0.46931,1.08477,1.14568,1.48023,0.007426,0.007426,0.007426
80,94920.2,1.07835,0.86748,1.36015,0.72594,0.60561,0.64022,0.46948,1.0843,1.14464,1.47947,0.007393,0.007393,0.007393
81,95284.6,1.09035,0.87827,1.35982,0.7243,0.60654,0.64106,0.4702,1.08394,1.14328,1.47872,0.00736,0.00736,0.00736
82,95655.4,1.07489,0.86608,1.35716,0.72704,0.60535,0.64183,0.47069,1.08365,1.14198,1.47805,0.007327,0.007327,0.007327
83,96031.7,1.07622,0.86555,1.35474,0.73434,0.60099,0.64208,0.47095,1.08321,1.14068,1.47736,0.007294,0.007294,0.007294
84,96394.6,1.07425,0.86584,1.36189,0.73452,0.60002,0.64261,0.47157,1.08264,1.13865,1.4766,0.007261,0.007261,0.007261
85,96759.8,1.07788,0.86707,1.36212,0.7423,0.59672,0.64307,0.47207,1.08238,1.13668,1.47615,0.007228,0.007228,0.007228
86,97129.7,1.07381,0.85981,1.3643,0.73998,0.598,0.64346,0.47224,1.08193,1.13596,1.47545,0.007195,0.007195,0.007195
87,97494.2,1.07263,0.86078,1.35814,0.73636,0.59883,0.64395,0.47265,1.08146,1.13412,1.4748,0.007162,0.007162,0.007162
88,97857,1.07058,0.86065,1.35203,0.73494,0.5982,0.64256,0.4729,1.08107,1.13257,1.4741,0.007129,0.007129,0.007129
